,Mass / -g,,,
Angle/Â°,1s,10s,20s,
0,25.5,23.5,24.2,
,26.4,25.1,25.6,
,25.2,26.5,24.4,
,24.0,23.9,23.7,
,23.0,24.3,22.4,
,,,,24.5133333333333
10,34.5,36.5,33.6,
,36.1,32.4,31.3,
,32.5,31.9,34.0,
,33.0,35.0,34.6,
,33.5,29.6,33.8,
,,,,33.4866666666667
20,39.4,42.1,42.8,
,39.8,39.7,38.7,
,42.5,40.6,41.8,
,39.0,35.2,36.0,
,38.6,35.7,37.8,
,,,,39.3133333333333
30,43.2,41.0,43.7,
,44.5,39.2,44.7,
,43.0,44.1,39.7,
,45.1,44.9,39.9,
,42.9,44.4,42.6,
,,,,42.86
40,36.8,39.5,41.6,
,40.0,39.9,37.8,
,41.4,36.9,38.4,
,38.5,41.0,36.5,
,38.8,36.9,40.9,
,,,,38.9933333333333
50,25.4,26.2,25.6,
,25.7,28.2,26.3,
,23.9,26.3,24.5,
,25.1,25.8,23.9,
,24.7,25.2,26.2,
,,,,25.5333333333333
60,20.9,18.5,19.3,
,20.7,20.4,22.9,
,21.0,16.8,21.1,
,18.2,21.3,22.8,
,23.2,22.5,19.9,
,,,,20.6333333333333
70,,,,
