Angle,Neg_Mass
0,25.5
0,26.4
0,25.2
0,24.0
0,23.0
0,23.5
0,25.1
0,26.5
0,23.9
0,24.3
0,24.2
0,25.6
0,24.4
0,23.7
0,22.4
10,34.5
10,36.1
10,32.5
10,33.0
10,33.5
10,36.5
10,32.4
10,31.9
10,35.0
10,29.6
10,33.6
10,31.3
10,34.0
10,34.6
10,33.8
20,39.4
20,39.8
20,42.5
20,39.0
20,38.6
20,42.1
20,39.7
20,40.6
20,35.2
20,35.7
20,42.8
20,38.7
20,41.8
20,36.0
20,37.8
30,43.2
30,44.5
30,43.0
30,45.1
30,42.9
30,41.0
30,39.2
30,44.1
30,44.9
30,44.4
30,43.7
30,44.7
30,39.7
30,39.9
30,42.6
40,36.8
40,40.0
40,41.4
40,38.5
40,38.8
40,39.5
40,39.9
40,36.9
40,41.0
40,36.9
40,41.6
40,37.8
40,38.4
40,36.5
40,40.9
50,25.4
50,25.7
50,23.9
50,25.1
50,24.7
50,26.2
50,28.2
50,26.3
50,25.8
50,25.2
50,25.6
50,26.3
50,24.5
50,23.9
50,26.2
60,20.9
60,20.7
60,21.0
60,18.2
60,23.2
60,18.5
60,20.4
60,16.8
60,21.3
60,22.5
60,19.3
60,22.9
60,21.1
60,22.8
60,19.9
70,14.1
70,13.7
70,15.3
70,12.4
70,12.5
70,14.2
70,13.9
70,14.1
70,12.8
70,13.2
70,13.1
70,14.6
70,12.3
70,13.7
70,11.7